,overlapping,in_sample,period,proportion,N,ar_greater_1
0,True,True,daily,0.01,32,0.75
0,True,True,daily,0.02,63,0.7301587301587301
0,True,True,daily,0.05,156,0.6153846153846154
0,True,True,weekly,0.01,32,0.6875
0,True,True,weekly,0.02,63,0.6666666666666666
0,True,True,weekly,0.05,156,0.6153846153846154
0,True,True,monthly,0.01,32,0.84375
0,True,True,monthly,0.02,63,0.6984126984126984
0,True,True,monthly,0.05,156,0.5897435897435898
0,True,False,daily,0.01,123,0.5772357723577236
0,True,False,daily,0.02,245,0.5428571428571428
0,True,False,daily,0.05,612,0.43790849673202614
0,True,False,weekly,0.01,123,0.5528455284552846
0,True,False,weekly,0.02,245,0.4816326530612245
0,True,False,weekly,0.05,612,0.4068627450980392
0,True,False,monthly,0.01,123,0.4146341463414634
0,True,False,monthly,0.02,245,0.35918367346938773
0,True,False,monthly,0.05,611,0.3322422258592471
0,False,True,daily,0.01,32,0.75
0,False,True,daily,0.02,63,0.7301587301587301
0,False,True,daily,0.05,156,0.6153846153846154
0,False,True,weekly,0.01,7,0.7142857142857143
0,False,True,weekly,0.02,13,0.5384615384615384
0,False,True,weekly,0.05,33,0.5454545454545454
0,False,True,monthly,0.01,2,0.5
0,False,True,monthly,0.02,3,0.6666666666666666
0,False,True,monthly,0.05,8,0.75
0,False,False,daily,0.01,122,0.5737704918032787
0,False,False,daily,0.02,244,0.5450819672131147
0,False,False,daily,0.05,612,0.43790849673202614
0,False,False,weekly,0.01,26,0.6538461538461539
0,False,False,weekly,0.02,51,0.49019607843137253
0,False,False,weekly,0.05,128,0.3984375
0,False,False,monthly,0.01,6,0.16666666666666666
0,False,False,monthly,0.02,12,0.25
0,False,False,monthly,0.05,30,0.4
